#rank      cc Fish-z  rel-z        x        y        z    a11    a12    a13    a21    a22    a23    a31    a32    a33
95      0.782  1.049 117.262   38.834   33.458   19.913 -0.797 -0.604  0.000  0.000  0.000 -1.000  0.604 -0.797  0.000
96      0.781  1.048 117.155   42.834  -34.542  -10.087 -0.258 -0.362 -0.896  0.362 -0.896  0.258 -0.896 -0.258  0.362
97      0.781  1.048 117.090    7.834  -62.542    8.913 -0.632  0.548  0.548  0.548 -0.184  0.816  0.548  0.816 -0.184
98      0.780  1.045 116.784   20.834  -56.542   14.913 -0.896 -0.258 -0.362 -0.258 -0.362  0.896 -0.362  0.896  0.258
99      0.780  1.045 116.744  -49.166   30.458   -0.087 -0.548  0.184 -0.816 -0.548 -0.816  0.184 -0.632  0.548  0.548
100     0.779  1.044 116.663   45.834  -20.542   38.913 -1.000  0.000  0.000  0.000  0.604  0.797  0.000  0.797 -0.604
101     0.775  1.032 115.366   45.834   30.458   14.913 -0.816  0.184 -0.548  0.548  0.548 -0.632  0.184 -0.816 -0.548
102     0.775  1.032 115.318   56.834  -19.542   12.913 -0.184  0.548 -0.816  0.548 -0.632 -0.548 -0.816 -0.548 -0.184
103     0.773  1.028 114.937   51.834   34.458   15.913  0.258  0.362 -0.896  0.362 -0.896 -0.258 -0.896 -0.258 -0.362
104     0.773  1.027 114.795   54.834  -17.542   23.913 -0.816  0.548 -0.184  0.184  0.548  0.816  0.548  0.632 -0.548
105     0.772  1.026 114.712  -55.166   17.458   26.913  0.000  0.604 -0.797 -0.000 -0.797 -0.604 -1.000  0.000  0.000
106     0.772  1.025 114.600  -57.166   21.458   -1.087 -0.632 -0.548 -0.548  0.548  0.184 -0.816  0.548 -0.816  0.184
107     0.772  1.025 114.541   48.834   31.458   -1.087  0.000  0.000 -1.000 -0.604 -0.797  0.000 -0.797  0.604  0.000
108     0.770  1.021 114.049    8.834  -41.542   21.913  0.548  0.184 -0.816  0.548 -0.816  0.184 -0.632 -0.548 -0.548
109     0.769  1.017 113.636  -55.166    8.458   20.913 -0.184  0.548 -0.816  0.548 -0.632 -0.548 -0.816 -0.548 -0.184
110     0.768  1.016 113.543   46.834  -25.542   -3.087 -0.604  0.000 -0.797  0.000 -1.000 -0.000 -0.797  0.000  0.604
111     0.768  1.016 113.518  -46.166  -38.542   22.913  0.548  0.184  0.816  0.548 -0.816 -0.184  0.632  0.548 -0.548
112     0.768  1.016 113.512  -47.166  -33.542    8.913 -0.548 -0.548 -0.632  0.184 -0.816  0.548 -0.816  0.184  0.548
113     0.768  1.015 113.440   54.834  -23.542   15.913 -0.896 -0.258 -0.362 -0.258 -0.362  0.896 -0.362  0.896  0.258
114     0.768  1.015 113.423  -41.166  -43.542    8.913 -0.548 -0.548 -0.632  0.184 -0.816  0.548 -0.816  0.184  0.548
115     0.768  1.015 113.423  -49.166   10.458   18.913 -0.184  0.548 -0.816  0.548 -0.632 -0.548 -0.816 -0.548 -0.184
116     0.767  1.013 113.232   56.834  -27.542   10.913 -0.896  0.258 -0.362 -0.258  0.362  0.896  0.362  0.896 -0.258
117     0.766  1.012 113.058   39.834  -32.542   11.913 -0.797  0.604  0.000  0.000  0.000  1.000  0.604  0.797  0.000
118     0.766  1.011 113.031   12.834  -43.542   40.913 -0.632 -0.548 -0.548 -0.548 -0.184  0.816 -0.548  0.816 -0.184
119     0.766  1.011 112.982   50.834   35.458   14.913 -0.258 -0.362 -0.896  0.362 -0.896  0.258 -0.896 -0.258  0.362
120     0.764  1.005 112.267    6.834  -57.542   13.913  0.000 -0.604 -0.797  0.000 -0.797  0.604 -1.000  0.000  0.000
121     0.763  1.004 112.229   50.834  -29.542    5.913 -0.548 -0.184 -0.816  0.548 -0.816 -0.184 -0.632 -0.548  0.548
122     0.763  1.002 112.021  -11.166   54.458   26.913 -0.632  0.548  0.548  0.548 -0.184  0.816  0.548  0.816 -0.184
123     0.763  1.002 112.020   51.834   29.458    4.913 -0.896  0.362 -0.258  0.362  0.258 -0.896 -0.258 -0.896 -0.362
124     0.763  1.002 112.007    3.834  -56.542    1.913 -0.184  0.548  0.816  0.548 -0.632  0.548  0.816  0.548 -0.184
125     0.762  1.002 111.939   39.834  -28.542   -9.087 -0.816 -0.184 -0.548  0.548 -0.548 -0.632 -0.184 -0.816  0.548
